hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,13-15years,white,no,13.0,2,1,11.96,northcentral,0
no,yes,no,13-15years,white,no,24.0,0,1,1.2,northcentral,50
yes,no,yes,12years,white,no,43.0,0,0,31.275,northcentral,40
no,yes,yes,13-15years,white,no,17.0,0,1,9.0,northcentral,40
yes,no,yes,9-11years,white,no,44.5,0,0,0.0,northcentral,0
yes,yes,yes,12years,white,no,32.0,0,0,15.69,northcentral,40
yes,no,yes,16years,white,no,14.0,0,0,26.0,northcentral,40
no,no,no,12years,white,no,1.0,1,0,0.338,northcentral,25
no,yes,no,16years,white,no,4.0,0,0,10.0,northcentral,45
no,no,yes,13-15years,white,no,7.0,1,0,30.0,northcentral,30
no,no,no,12years,white,no,23.0,0,3,18.0,northcentral,40
no,no,no,16years,white,no,9.0,2,0,22.0,northcentral,32
no,yes,no,12years,white,no,31.0,0,2,19.5,northcentral,40
yes,no,yes,12years,white,no,20.0,0,2,42.0,northcentral,0
yes,no,yes,12years,white,no,35.0,0,0,32.0,northcentral,40
no,yes,yes,12years,white,no,20.0,1,0,25.0,northcentral,40
yes,no,yes,12years,white,no,33.0,0,0,42.0,northcentral,0
yes,no,yes,12years,white,no,9.0,2,0,16.0,northcentral,20
yes,no,yes,12years,white,no,21.0,0,2,0.0,northcentral,0
no,yes,yes,13-15years,white,no,16.0,0,2,36.0,northcentral,45
no,yes,no,12years,white,no,45.0,0,0,0.0,northcentral,40
yes,no,yes,12years,white,no,47.0,0,0,28.0,northcentral,30
no,yes,yes,12years,white,no,35.0,0,0,20.0,northcentral,40
yes,no,yes,12years,white,no,46.0,0,0,0.0,northcentral,22
yes,no,yes,12years,white,no,47.0,0,0,2.9,northcentral,17
yes,no,yes,13-15years,white,no,13.0,1,1,50.0,northcentral,20
no,no,no,12years,white,no,47.0,0,0,0.006,northcentral,0
no,yes,no,>16years,white,no,31.0,0,0,0.0,northcentral,40
no,no,no,>16years,white,no,31.0,0,0,25.464,northcentral,45
no,yes,no,12years,white,no,19.0,0,2,0.0,northcentral,50
no,no,no,12years,white,no,5.0,3,0,9.0,northcentral,0
no,yes,yes,16years,white,no,6.0,1,0,32.0,northcentral,60
no,yes,no,12years,white,no,16.0,1,1,38.5,northcentral,0
no,yes,yes,16years,white,no,13.0,2,0,28.0,northcentral,40
no,yes,no,12years,white,no,29.0,0,1,15.875,northcentral,50
yes,no,yes,12years,white,no,7.0,1,0,17.5,northcentral,42
yes,no,yes,13-15years,white,no,24.0,0,3,47.0,northcentral,10
yes,yes,yes,12years,white,no,11.0,1,0,30.0,northcentral,40
yes,yes,yes,12years,white,no,23.0,0,2,26.0,northcentral,40
no,no,no,13-15years,white,no,14.0,2,1,0.0,northcentral,0
no,yes,no,13-15years,white,no,10.0,0,5,3.44,northcentral,40
no,yes,yes,12years,white,no,23.0,0,2,27.0,northcentral,40
no,no,no,12years,white,no,24.0,0,0,0.0,northcentral,0
yes,no,yes,16years,white,no,31.0,0,0,35.007,northcentral,60
no,no,no,16years,white,no,19.0,0,2,20.0,northcentral,50
no,no,no,12years,white,no,29.0,0,1,21.616,northcentral,32
no,no,no,12years,white,no,23.0,0,2,0.0,northcentral,25
no,no,no,12years,white,no,46.0,0,0,0.0,northcentral,0
no,no,no,>16years,white,no,17.0,0,2,0.0,northcentral,40
yes,no,yes,12years,white,no,9.0,0,1,30.0,northcentral,40
yes,no,yes,12years,white,no,16.0,0,2,16.5,northcentral,40
no,no,no,12years,white,no,6.0,3,0,9.36,northcentral,0
yes,no,yes,13-15years,white,no,15.0,2,0,56.0,northcentral,22
yes,no,yes,16years,white,no,28.0,0,1,75.0,northcentral,40
yes,no,yes,13-15years,white,no,21.0,0,1,38.0,northcentral,30
yes,no,yes,12years,white,no,31.0,0,0,45.0,northcentral,0
no,yes,no,16years,white,no,18.0,0,2,38.0,northcentral,45
no,yes,yes,16years,white,no,39.0,0,0,40.0,northcentral,30
no,yes,no,16years,white,no,19.0,0,0,28.0,northcentral,45
yes,no,yes,13-15years,white,no,20.0,0,4,52.0,northcentral,0
yes,no,yes,16years,white,no,20.0,0,2,51.0,northcentral,40
yes,no,yes,>16years,white,no,17.0,0,2,25.0,northcentral,40
no,no,no,12years,white,no,22.0,0,4,6.0,northcentral,40
no,no,no,12years,white,no,38.0,0,0,0.0,northcentral,0
yes,no,yes,12years,white,no,12.0,0,0,35.0,northcentral,35
yes,yes,yes,13-15years,white,no,16.0,0,3,32.0,northcentral,40
no,no,no,13-15years,white,no,24.0,0,3,10.582,northcentral,0
no,no,no,13-15years,white,no,35.0,0,0,0.0,northcentral,0
no,no,no,12years,white,no,45.0,0,0,0.0,northcentral,0
no,yes,no,16years,white,no,5.0,0,0,0.0,northcentral,40
no,no,no,13-15years,white,no,10.0,1,0,30.0,northcentral,0
yes,no,yes,13-15years,white,no,21.0,0,1,19.5,northcentral,37
yes,no,yes,12years,white,no,26.0,0,0,16.0,northcentral,15
yes,no,yes,12years,white,no,42.0,0,0,15.8,northcentral,32
yes,no,yes,12years,white,no,25.0,1,1,24.0,northcentral,40
yes,no,yes,13-15years,white,no,17.0,2,1,47.0,northcentral,0
no,yes,no,12years,white,no,28.0,0,0,2.5,northcentral,40
yes,no,yes,16years,white,no,28.0,0,1,40.0,northcentral,24
yes,no,yes,13-15years,white,no,41.0,0,0,58.0,northcentral,0
no,no,no,12years,white,no,36.0,0,0,0.0,northcentral,0
no,no,no,9-11years,white,no,26.5,0,0,21.8,northcentral,34
no,yes,yes,12years,white,no,40.0,0,0,10.78,northcentral,36
